finance_measure,formula,result
AU-FOUNDATION & RG - No of Donations,,11348
AU-FOUNDATION & RG - ADA,2117299.75 / 11348 = ,186.58
AU-FOUNDATION & RG - Total Funds,,2117299.75
AU-NEW - No of New Fundraisers (previous campaign),,45369
AU-NEW - No of Active Fundraisers,,22743
AU-NEW - APAM (Active),22743 / 9145277.55 = ,402.11
AU-NEW - Total Funds,,9145277.55
AU-NEW - Active Ratio,22743 / 45369 = ,0.5013
AU-RETAINED - No of Fundraisers (previous campaign),,97624
AU-RETAINED - Total Retained from Previous into Current,,17489
AU-RETAINED - No of Active Fundraisers,,11471
AU-RETAINED - APAM (Active),6886251.96 / 11471 = ,600.32
AU-RETAINED - Total Funds,,6886251.96
AU-RETAINED - Retained Ratio,17489 / 97624 = ,0.1791
AU-RETAINED - Active Ratio,11471 / 17489 = ,0.6559
AU-RETAINED - Total No of Fundraisers (current campaign),,84952
AU-RETURNING - No of Returning Frs before previous campaign,,10284
AU-RETURNING - No of Active Fundraisers,,5723
AU-RETURNING - APAM (Active),2592599.79 / 5723 = ,453.01
AU-RETURNING - Total Funds,,2592599.79
AU-RETURNING - Active Ratio,5723 / 10284 = ,0.5565
AU-TOTAL INDIVIDUALS - Total Number of Fundraisers,,73142
AU-TOTAL INDIVIDUALS - Total Active Fundraisers,,39937
AU-TOTAL INDIVIDUALS - Total Funds Raised,,18624129.3
AU-TEAM - No of Teams,,5630
AU-TEAM - ATDD,4999399.96 / 5630 = ,887.99
AU-TEAM - Total Funds,,4999399.96
AU-TOTAL PEER 2 PEER - Total Number of Fundraisers,,78772
AU-TOTAL PEER 2 PEER - Total Funds Raised,,25740829.01
CA-FOUNDATION & RG - No of Donations,,13908
CA-FOUNDATION & RG - ADA,2049960.3 / 13908 = ,147.39
CA-FOUNDATION & RG - Total Funds,,2049960.3
CA-NEW - No of New Fundraisers (previous campaign),,35489
CA-NEW - No of Active Fundraisers,,15441
CA-NEW - APAM (Active),15441 / 5524420.48 = ,357.78
CA-NEW - Total Funds,,5524420.48
CA-NEW - Active Ratio,15441 / 35489 = ,0.4351
CA-RETAINED - No of Fundraisers (previous campaign),,77788
CA-RETAINED - Total Retained from Previous into Current,,19800
CA-RETAINED - No of Active Fundraisers,,14012
CA-RETAINED - APAM (Active),10209109.58 / 14012 = ,728.6
CA-RETAINED - Total Funds,,10209109.58
CA-RETAINED - Retained Ratio,19800 / 77788 = ,0.2545
CA-RETAINED - Active Ratio,14012 / 19800 = ,0.7077
CA-RETAINED - Total No of Fundraisers (current campaign),,73335
CA-RETURNING - No of Returning Frs before previous campaign,,8487
CA-RETURNING - No of Active Fundraisers,,4396
CA-RETURNING - APAM (Active),1822635.41 / 4396 = ,414.61
CA-RETURNING - Total Funds,,1822635.41
CA-RETURNING - Active Ratio,4396 / 8487 = ,0.518
