campaign,payment_country,region,tenure,metric,result
2021,au,Total,Foundation,donations,10100
2021,au,Total,Foundation,ada,102
2021,au,Total,Foundation,funds,1030200
2021,au,Total,Foundation,comment,
2021,au,Total,New,regos,47500
2021,au,Total,New,active,25175
2021,au,Total,New,apam,379.65
2021,au,Total,New,funds,9557688.75
2021,au,Total,New,comment,
2021,au,Total,Retained,regos_total_prior,73142
2021,au,Total,Retained,regos,16500
2021,au,Total,Retained,active,10807
2021,au,Total,Retained,apam,600
2021,au,Total,Retained,funds,6484200
2021,au,Total,Retained,comment,
2021,au,Total,Retained,regos_total_curnt,
2021,au,Total,Returned,regos,10284
2021,au,Total,Returned,active,6685
2021,au,Total,Returned,apam,453.01
2021,au,Total,Returned,funds,3028371.85
2021,au,Total,Returned,comment,
2021,au,Total,Team,donations,5630
2021,au,Total,Team,atdd,887.99
2021,au,Total,Team,funds,4999383.7
2021,au,Total,Team,comment,
2021,ca,Total,Foundation,donations,13908
2021,ca,Total,Foundation,ada,147.39
2021,ca,Total,Foundation,funds,2049900.12
2021,ca,Total,Foundation,comment,
2021,ca,Total,New,regos,33000
2021,ca,Total,New,active,16500
2021,ca,Total,New,apam,335
2021,ca,Total,New,funds,5527500
2021,ca,Total,New,comment,
2021,ca,Total,Retained,regos_total_prior,63776
2021,ca,Total,Retained,regos,20100
2021,ca,Total,Retained,active,15100
2021,ca,Total,Retained,apam,700
2021,ca,Total,Retained,funds,10570000
2021,ca,Total,Retained,comment,
2021,ca,Total,Retained,regos_total_curnt,
2021,ca,Total,Returned,regos,8487
2021,ca,Total,Returned,active,4500
2021,ca,Total,Returned,apam,400
2021,ca,Total,Returned,funds,1800000
2021,ca,Total,Returned,comment,
2021,ca,Total,Team,donations,4365
2021,ca,Total,Team,atdd,847.96
2021,ca,Total,Team,funds,3701345.4
2021,ca,Total,Team,comment,
2021,gb,Total,Foundation,donations,13878
2021,gb,Total,Foundation,ada,70.63
2021,gb,Total,Foundation,funds,980203.14
2021,gb,Total,Foundation,comment,
2021,gb,Total,New,regos,65175
2021,gb,Total,New,active,30632
2021,gb,Total,New,apam,151
2021,gb,Total,New,funds,4625432
2021,gb,Total,New,comment,
2021,gb,Total,Retained,regos_total_prior,88650
2021,gb,Total,Retained,regos,17825
2021,gb,Total,Retained,active,10873
2021,gb,Total,Retained,apam,210
2021,gb,Total,Retained,funds,2283330
2021,gb,Total,Retained,comment,
2021,gb,Total,Retained,regos_total_curnt,
2021,gb,Total,Returned,regos,9000
2021,gb,Total,Returned,active,4590
2021,gb,Total,Returned,apam,181
2021,gb,Total,Returned,funds,830790
2021,gb,Total,Returned,comment,
2021,gb,Total,Team,donations,5187
2021,gb,Total,Team,atdd,301.66
2021,gb,Total,Team,funds,1564710.42
2021,gb,Total,Team,comment,
2021,us,Total,Foundation,donations,10500
2021,us,Total,Foundation,ada,185.45
2021,us,Total,Foundation,funds,1947225.00
2021,us,Total,Foundation,comment,
2021,us,Total,New,regos,40000
2021,us,Total,New,active,10000
2021,us,Total,New,apam,292.69
2021,us,Total,New,funds,2926900.00
2021,us,Total,New,comment,
2021,us,Total,Retained,regos_total_prior,54584
2021,us,Total,Retained,regos,13200
2021,us,Total,Retained,active,8200
2021,us,Total,Retained,apam,862.44
2021,us,Total,Retained,funds,7072008.00
2021,us,Total,Retained,comment,
2021,us,Total,Retained,regos_total_curnt,
2021,us,Total,Returned,regos,5700
2021,us,Total,Returned,active,2300
2021,us,Total,Returned,apam,410.64
2021,us,Total,Returned,funds,944472.00
2021,us,Total,Returned,comment,
2021,us,Total,Team,donations,3000
2021,us,Total,Team,atdd,1009.75
2021,us,Total,Team,funds,3029250.00
2021,us,Total,Team,comment,
2021,ie,Total,Foundation,donations,1406
2021,ie,Total,Foundation,ada,86.54
2021,ie,Total,Foundation,funds,121675.24
2021,ie,Total,Foundation,comment,
2021,ie,Total,New,regos,9386
2021,ie,Total,New,active,4599
2021,ie,Total,New,apam,298
2021,ie,Total,New,funds,1370502
2021,ie,Total,New,comment,
2021,ie,Total,Retained,regos_total_prior,12511
2021,ie,Total,Retained,regos,2511
2021,ie,Total,Retained,active,1456
2021,ie,Total,Retained,apam,360
2021,ie,Total,Retained,funds,524160
2021,ie,Total,Retained,comment,
2021,ie,Total,Retained,regos_total_curnt,
2021,ie,Total,Returned,regos,1003
2021,ie,Total,Returned,active,532
2021,ie,Total,Returned,apam,328
2021,ie,Total,Returned,funds,174496
2021,ie,Total,Returned,comment,
2021,ie,Total,Team,donations,1064
2021,ie,Total,Team,atdd,533.2
2021,ie,Total,Team,funds,567324.8
2021,ie,Total,Team,comment,
2021,nz,Total,Foundation,donations,1600
2021,nz,Total,Foundation,ada,120
2021,nz,Total,Foundation,funds,192000
2021,nz,Total,Foundation,comment,
2021,nz,Total,New,regos,10000
2021,nz,Total,New,active,5800
2021,nz,Total,New,apam,300
2021,nz,Total,New,funds,1740000
2021,nz,Total,New,comment,
2021,nz,Total,Retained,regos_total_prior,15193
2021,nz,Total,Retained,regos,2000
2021,nz,Total,Retained,active,1350
2021,nz,Total,Retained,apam,460
2021,nz,Total,Retained,funds,621000
2021,nz,Total,Retained,comment,
2021,nz,Total,Retained,regos_total_curnt,
2021,nz,Total,Returned,regos,1600
2021,nz,Total,Returned,active,950
2021,nz,Total,Returned,apam,380
2021,nz,Total,Returned,funds,361000
2021,nz,Total,Returned,comment,
2021,nz,Total,Team,donations,900
2021,nz,Total,Team,atdd,680
2021,nz,Total,Team,funds,612000
2021,nz,Total,Team,comment,
2021,at,Total,Foundation,donations,199
2021,at,Total,Foundation,ada,66.12
2021,at,Total,Foundation,funds,13157.88
2021,at,Total,Foundation,comment,
2021,at,Total,New,regos,649
2021,at,Total,New,active,111
2021,at,Total,New,apam,88.72
2021,at,Total,New,funds,9847.92
2021,at,Total,New,comment,
2021,at,Total,Retained,regos_total_prior,1051
2021,at,Total,Retained,regos,246
2021,at,Total,Retained,active,78
2021,at,Total,Retained,apam,128.37
2021,at,Total,Retained,funds,10012.86
2021,at,Total,Retained,comment,
2021,at,Total,Retained,regos_total_curnt,
2021,at,Total,Returned,regos,126
2021,at,Total,Returned,active,23
2021,at,Total,Returned,apam,109.03
2021,at,Total,Returned,funds,2507.69
2021,at,Total,Returned,comment,
2021,at,Total,Team,donations,56
2021,at,Total,Team,atdd,352.7
2021,at,Total,Team,funds,19751.2
2021,at,Total,Team,comment,
2021,be,Total,Foundation,donations,46
2021,be,Total,Foundation,ada,383.82
2021,be,Total,Foundation,funds,17655.72
2021,be,Total,Foundation,comment,
2021,be,Total,New,regos,482
2021,be,Total,New,active,94
2021,be,Total,New,apam,138.98
2021,be,Total,New,funds,13064.12
2021,be,Total,New,comment,
2021,be,Total,Retained,regos_total_prior,875
2021,be,Total,Retained,regos,163
2021,be,Total,Retained,active,47
2021,be,Total,Retained,apam,420.31
2021,be,Total,Retained,funds,19754.57
2021,be,Total,Retained,comment,
2021,be,Total,Retained,regos_total_curnt,
2021,be,Total,Returned,regos,111
2021,be,Total,Returned,active,30
2021,be,Total,Returned,apam,97.31
2021,be,Total,Returned,funds,2919.3
2021,be,Total,Returned,comment,
2021,be,Total,Team,donations,29
2021,be,Total,Team,atdd,409.03
2021,be,Total,Team,funds,11861.87
2021,be,Total,Team,comment,
2021,cz,Total,Foundation,donations,470
2021,cz,Total,Foundation,ada,639.71
2021,cz,Total,Foundation,funds,300663.7
2021,cz,Total,Foundation,comment,
2021,cz,Total,New,regos,1216
2021,cz,Total,New,active,199
2021,cz,Total,New,apam,816.41
2021,cz,Total,New,funds,162465.59
2021,cz,Total,New,comment,
