campaign,payment_country,region,tenure,metric,result
2021,au,Total,New,regos,48633.0
2021,au,Total,New,active,26007.0
2021,au,Total,New,apam,434.12
2021,au,Total,New,funds,11290177.15
2021,au,Total,New,comment,
2021,au,Total,Retained,regos_total_prior,90922.0
2021,au,Total,Retained,regos,17489.0
2021,au,Total,Retained,active,11471.0
2021,au,Total,Retained,apam,600.32
2021,au,Total,Retained,funds,6886251.96
2021,au,Total,Retained,comment,
2021,au,Total,Retained,regos_total_curnt,78772.0
2021,au,Total,Returned,regos,12650.0
2021,au,Total,Returned,active,8089.0
2021,au,Total,Returned,apam,673.4
2021,au,Total,Returned,funds,5447100.15
2021,au,Total,Returned,comment,
2021,au,Total,Foundation,donations,10171.0
2021,au,Total,Foundation,funds,2090579.25
2021,au,Total,Foundation,ada,205.54
2021,au,Total,Foundation,comment,
2021,au,NSW,New,regos,11163.0
2021,au,NSW,New,active,5546.0
2021,au,NSW,New,apam,444.64
2021,au,NSW,New,funds,2465982.39
2021,au,NSW,New,comment,
2021,au,NSW,Retained,regos_total_prior,23955.0
2021,au,NSW,Retained,regos,4249.0
2021,au,NSW,Retained,active,2680.0
2021,au,NSW,Retained,apam,595.3
2021,au,NSW,Retained,funds,1595406.99
2021,au,NSW,Retained,comment,
2021,au,NSW,Retained,regos_total_curnt,17846.0
2021,au,NSW,Returned,regos,2434.0
2021,au,NSW,Returned,active,1327.0
2021,au,NSW,Returned,apam,510.13
2021,au,NSW,Returned,funds,676944.46
2021,au,NSW,Returned,comment,
2021,au,NSW,Foundation,donations,1536.0
2021,au,NSW,Foundation,funds,139951.12
2021,au,NSW,Foundation,ada,91.11
2021,au,NSW,Foundation,comment,
2021,au,VIC,New,regos,10634.0
2021,au,VIC,New,active,5051.0
2021,au,VIC,New,apam,419.97
2021,au,VIC,New,funds,2121250.24
2021,au,VIC,New,comment,
2021,au,VIC,Retained,regos_total_prior,18709.0
2021,au,VIC,Retained,regos,3863.0
2021,au,VIC,Retained,active,2508.0
2021,au,VIC,Retained,apam,669.24
2021,au,VIC,Retained,funds,1678453.25
2021,au,VIC,Retained,comment,
2021,au,VIC,Retained,regos_total_curnt,16871.0
2021,au,VIC,Returned,regos,2374.0
2021,au,VIC,Returned,active,1260.0
2021,au,VIC,Returned,apam,453.02
2021,au,VIC,Returned,funds,570799.31
2021,au,VIC,Returned,comment,
2021,au,VIC,Foundation,donations,1449.0
2021,au,VIC,Foundation,funds,131340.87
2021,au,VIC,Foundation,ada,90.64
2021,au,VIC,Foundation,comment,
2021,au,QLD,New,regos,9886.0
2021,au,QLD,New,active,5157.0
2021,au,QLD,New,apam,360.16
2021,au,QLD,New,funds,1857358.32
2021,au,QLD,New,comment,
2021,au,QLD,Retained,regos_total_prior,15814.0
2021,au,QLD,Retained,regos,3543.0
2021,au,QLD,Retained,active,2338.0
2021,au,QLD,Retained,apam,588.67
2021,au,QLD,Retained,funds,1376316.58
2021,au,QLD,Retained,comment,
2021,au,QLD,Retained,regos_total_curnt,15675.0
2021,au,QLD,Returned,regos,2246.0
2021,au,QLD,Returned,active,1322.0
2021,au,QLD,Returned,apam,389.73
2021,au,QLD,Returned,funds,515221.7
2021,au,QLD,Returned,comment,
2021,au,QLD,Foundation,donations,1038.0
2021,au,QLD,Foundation,funds,110699.54
2021,au,QLD,Foundation,ada,106.65
2021,au,QLD,Foundation,comment,
2021,au,WA,New,regos,5142.0
2021,au,WA,New,active,2699.0
2021,au,WA,New,apam,396.05
2021,au,WA,New,funds,1068925.71
2021,au,WA,New,comment,
2021,au,WA,Retained,regos_total_prior,7719.0
2021,au,WA,Retained,regos,1685.0
2021,au,WA,Retained,active,1115.0
2021,au,WA,Retained,apam,593.73
2021,au,WA,Retained,funds,662003.77
2021,au,WA,Retained,comment,
2021,au,WA,Retained,regos_total_curnt,7978.0
2021,au,WA,Returned,regos,1151.0
2021,au,WA,Returned,active,666.0
2021,au,WA,Returned,apam,499.05
2021,au,WA,Returned,funds,332364.32
