finance_measure,formula,result
AU-FOUNDATION & RG - No of Donations,,6317
AU-FOUNDATION & RG - ADA,822339.76 / 6317 = ,130.18
AU-FOUNDATION & RG - Total Funds,,822339.76
AU-NEW - No of New Fundraisers (previous campaign),,68071
AU-NEW - No of Active Fundraisers,,42931
AU-NEW - APAM (Active),42931 / 12454003.8 = ,290.09
AU-NEW - Total Funds,,12454003.8
AU-NEW - Active Ratio,42931 / 68071 = ,0.6307
AU-RETAINED - No of Fundraisers (previous campaign),,85409
AU-RETAINED - Total Retained from Previous into Current,,20204
AU-RETAINED - No of Active Fundraisers,,14942
AU-RETAINED - APAM (Active),6253359.74 / 14942 = ,418.51
AU-RETAINED - Total Funds,,6253359.74
AU-RETAINED - Retained Ratio,20204 / 85409 = ,0.2366
AU-RETAINED - Active Ratio,14942 / 20204 = ,0.7396
AU-RETAINED - Total No of Fundraisers (current campaign),,101398
AU-RETURNING - No of Returning Frs before previous campaign,,13123
AU-RETURNING - No of Active Fundraisers,,8820
AU-RETURNING - APAM (Active),3224884.37 / 8820 = ,365.63
AU-RETURNING - Total Funds,,3224884.37
AU-RETURNING - Active Ratio,8820 / 13123 = ,0.6721
AU-TOTAL INDIVIDUALS - Total Number of Fundraisers,,101398
AU-TOTAL INDIVIDUALS - Total Active Fundraisers,,66693
AU-TOTAL INDIVIDUALS - Total Funds Raised,,21932247.91
AU-TEAM - No of Teams,,9231
AU-TEAM - ATDD,5922624.55 / 9231 = ,641.6
AU-TEAM - Total Funds,,5922624.55
AU-TOTAL PEER 2 PEER - Total Number of Fundraisers,,101398
AU-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,66693
AU-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,9231
AU-TOTAL PEER 2 PEER - Total Number of Active Entities,,75924
AU-TOTAL PEER 2 PEER - Total Funds Raised,,28677212.22
CA-FOUNDATION & RG - No of Donations,,7471
CA-FOUNDATION & RG - ADA,1414833.94 / 7471 = ,189.38
CA-FOUNDATION & RG - Total Funds,,1414833.94
CA-NEW - No of New Fundraisers (previous campaign),,42946
CA-NEW - No of Active Fundraisers,,20158
CA-NEW - APAM (Active),20158 / 5730740.07 = ,284.29
CA-NEW - Total Funds,,5730740.07
CA-NEW - Active Ratio,20158 / 42946 = ,0.4694
CA-RETAINED - No of Fundraisers (previous campaign),,56396
CA-RETAINED - Total Retained from Previous into Current,,17125
CA-RETAINED - No of Active Fundraisers,,12400
CA-RETAINED - APAM (Active),6619813.88 / 12400 = ,533.86
CA-RETAINED - Total Funds,,6619813.88
CA-RETAINED - Retained Ratio,17125 / 56396 = ,0.3037
CA-RETAINED - Active Ratio,12400 / 17125 = ,0.7241
CA-RETAINED - Total No of Fundraisers (current campaign),,70809
CA-RETURNING - No of Returning Frs before previous campaign,,10738
CA-RETURNING - No of Active Fundraisers,,6065
CA-RETURNING - APAM (Active),2071312.8 / 6065 = ,341.52
CA-RETURNING - Total Funds,,2071312.8
CA-RETURNING - Active Ratio,6065 / 10738 = ,0.5648
CA-TOTAL INDIVIDUALS - Total Number of Fundraisers,,70809
CA-TOTAL INDIVIDUALS - Total Active Fundraisers,,38623
CA-TOTAL INDIVIDUALS - Total Funds Raised,,14421866.75
CA-TEAM - No of Teams,,5878
CA-TEAM - ATDD,3245297.26 / 5878 = ,552.11
CA-TEAM - Total Funds,,3245297.26
CA-TOTAL PEER 2 PEER - Total Number of Fundraisers,,70809
CA-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,38623
CA-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,5878
CA-TOTAL PEER 2 PEER - Total Number of Active Entities,,44501
CA-TOTAL PEER 2 PEER - Total Funds Raised,,19081997.95
GB-FOUNDATION & RG - No of Donations,,7145
GB-FOUNDATION & RG - ADA,703224.44 / 7145 = ,98.42
GB-FOUNDATION & RG - Total Funds,,703224.44
GB-NEW - No of New Fundraisers (previous campaign),,61468
GB-NEW - No of Active Fundraisers,,32014
GB-NEW - APAM (Active),32014 / 4633475.96 = ,144.73
GB-NEW - Total Funds,,4633475.96
GB-NEW - Active Ratio,32014 / 61468 = ,0.5208
GB-RETAINED - No of Fundraisers (previous campaign),,56073
GB-RETAINED - Total Retained from Previous into Current,,11035
GB-RETAINED - No of Active Fundraisers,,7206
GB-RETAINED - APAM (Active),1324654.4 / 7206 = ,183.83
GB-RETAINED - Total Funds,,1324654.4
GB-RETAINED - Retained Ratio,11035 / 56073 = ,0.1968
GB-RETAINED - Active Ratio,7206 / 11035 = ,0.653
GB-RETAINED - Total No of Fundraisers (current campaign),,82097
GB-RETURNING - No of Returning Frs before previous campaign,,9594
GB-RETURNING - No of Active Fundraisers,,5380
GB-RETURNING - APAM (Active),923888.81 / 5380 = ,171.73
GB-RETURNING - Total Funds,,923888.81
GB-RETURNING - Active Ratio,5380 / 9594 = ,0.5608
GB-TOTAL INDIVIDUALS - Total Number of Fundraisers,,82097
GB-TOTAL INDIVIDUALS - Total Active Fundraisers,,44600
GB-TOTAL INDIVIDUALS - Total Funds Raised,,6882019.17
GB-TEAM - No of Teams,,6164
GB-TEAM - ATDD,1653142.44 / 6164 = ,268.19
GB-TEAM - Total Funds,,1653142.44
GB-TOTAL PEER 2 PEER - Total Number of Fundraisers,,82097
GB-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,44600
GB-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,6164
GB-TOTAL PEER 2 PEER - Total Number of Active Entities,,50764
GB-TOTAL PEER 2 PEER - Total Funds Raised,,9238386.05
US-FOUNDATION & RG - No of Donations,,11638
US-FOUNDATION & RG - ADA,1257015.56 / 11638 = ,108.01
US-FOUNDATION & RG - Total Funds,,1257015.56
US-NEW - No of New Fundraisers (previous campaign),,53338
US-NEW - No of Active Fundraisers,,14508
US-NEW - APAM (Active),14508 / 3373246.42 = ,232.51
US-NEW - Total Funds,,3373246.42
US-NEW - Active Ratio,14508 / 53338 = ,0.272
US-RETAINED - No of Fundraisers (previous campaign),,68255
US-RETAINED - Total Retained from Previous into Current,,16686
US-RETAINED - No of Active Fundraisers,,9640
US-RETAINED - APAM (Active),5647966.33 / 9640 = ,585.89
US-RETAINED - Total Funds,,5647966.33
US-RETAINED - Retained Ratio,16686 / 68255 = ,0.2445
US-RETAINED - Active Ratio,9640 / 16686 = ,0.5777
US-RETAINED - Total No of Fundraisers (current campaign),,77998
US-RETURNING - No of Returning Frs before previous campaign,,7974
US-RETURNING - No of Active Fundraisers,,3058
US-RETURNING - APAM (Active),1010716.91 / 3058 = ,330.52
US-RETURNING - Total Funds,,1010716.91
US-RETURNING - Active Ratio,3058 / 7974 = ,0.3835
US-TOTAL INDIVIDUALS - Total Number of Fundraisers,,77998
US-TOTAL INDIVIDUALS - Total Active Fundraisers,,27206
US-TOTAL INDIVIDUALS - Total Funds Raised,,10031929.66
US-TEAM - No of Teams,,4775
US-TEAM - ATDD,3336348.72 / 4775 = ,698.71
US-TEAM - Total Funds,,3336348.72
US-TOTAL PEER 2 PEER - Total Number of Fundraisers,,77998
US-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,27206
US-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,4775
US-TOTAL PEER 2 PEER - Total Number of Active Entities,,31981
US-TOTAL PEER 2 PEER - Total Funds Raised,,14625293.94
IE-FOUNDATION & RG - No of Donations,,1345
IE-FOUNDATION & RG - ADA,158324.46 / 1345 = ,117.71
IE-FOUNDATION & RG - Total Funds,,158324.46
IE-NEW - No of New Fundraisers (previous campaign),,8334
IE-NEW - No of Active Fundraisers,,4506
IE-NEW - APAM (Active),4506 / 1159903.0 = ,257.41
IE-NEW - Total Funds,,1159903.0
IE-NEW - Active Ratio,4506 / 8334 = ,0.5407
IE-RETAINED - No of Fundraisers (previous campaign),,6115
IE-RETAINED - Total Retained from Previous into Current,,1253
IE-RETAINED - No of Active Fundraisers,,824
IE-RETAINED - APAM (Active),256433.77 / 824 = ,311.21
IE-RETAINED - Total Funds,,256433.77
IE-RETAINED - Retained Ratio,1253 / 6115 = ,0.2049
IE-RETAINED - Active Ratio,824 / 1253 = ,0.6576
IE-RETAINED - Total No of Fundraisers (current campaign),,10561
IE-RETURNING - No of Returning Frs before previous campaign,,974
IE-RETURNING - No of Active Fundraisers,,574
IE-RETURNING - APAM (Active),184240.97 / 574 = ,320.98
IE-RETURNING - Total Funds,,184240.97
IE-RETURNING - Active Ratio,574 / 974 = ,0.5893
IE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,10561
IE-TOTAL INDIVIDUALS - Total Active Fundraisers,,5904
IE-TOTAL INDIVIDUALS - Total Funds Raised,,1600577.74
IE-TEAM - No of Teams,,699
IE-TEAM - ATDD,395800.63 / 699 = ,566.24
IE-TEAM - Total Funds,,395800.63
IE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,10561
IE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,5904
IE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,699
IE-TOTAL PEER 2 PEER - Total Number of Active Entities,,6603
IE-TOTAL PEER 2 PEER - Total Funds Raised,,2154702.83
NZ-FOUNDATION & RG - No of Donations,,721
NZ-FOUNDATION & RG - ADA,64069.6 / 721 = ,88.86
NZ-FOUNDATION & RG - Total Funds,,64069.6
NZ-NEW - No of New Fundraisers (previous campaign),,9384
NZ-NEW - No of Active Fundraisers,,4863
NZ-NEW - APAM (Active),4863 / 1047851.85 = ,215.47
NZ-NEW - Total Funds,,1047851.85
NZ-NEW - Active Ratio,4863 / 9384 = ,0.5182
NZ-RETAINED - No of Fundraisers (previous campaign),,11548
NZ-RETAINED - Total Retained from Previous into Current,,2167
NZ-RETAINED - No of Active Fundraisers,,1358
NZ-RETAINED - APAM (Active),407838.7 / 1358 = ,300.32
NZ-RETAINED - Total Funds,,407838.7
NZ-RETAINED - Retained Ratio,2167 / 11548 = ,0.1877
NZ-RETAINED - Active Ratio,1358 / 2167 = ,0.6267
NZ-RETAINED - Total No of Fundraisers (current campaign),,12863
NZ-RETURNING - No of Returning Frs before previous campaign,,1312
NZ-RETURNING - No of Active Fundraisers,,780
NZ-RETURNING - APAM (Active),196471.09 / 780 = ,251.89
NZ-RETURNING - Total Funds,,196471.09
NZ-RETURNING - Active Ratio,780 / 1312 = ,0.5945
NZ-TOTAL INDIVIDUALS - Total Number of Fundraisers,,12863
NZ-TOTAL INDIVIDUALS - Total Active Fundraisers,,7001
NZ-TOTAL INDIVIDUALS - Total Funds Raised,,1652161.64
NZ-TEAM - No of Teams,,1045
NZ-TEAM - ATDD,506355.82 / 1045 = ,484.55
NZ-TEAM - Total Funds,,506355.82
NZ-TOTAL PEER 2 PEER - Total Number of Fundraisers,,12863
NZ-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,7001
NZ-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,1045
NZ-TOTAL PEER 2 PEER - Total Number of Active Entities,,8046
NZ-TOTAL PEER 2 PEER - Total Funds Raised,,2222587.06
AT-FOUNDATION & RG - No of Donations,,237
AT-FOUNDATION & RG - ADA,13399.16 / 237 = ,56.54
AT-FOUNDATION & RG - Total Funds,,13399.16
AT-NEW - No of New Fundraisers (previous campaign),,643
AT-NEW - No of Active Fundraisers,,105
AT-NEW - APAM (Active),105 / 7781.05 = ,74.11
AT-NEW - Total Funds,,7781.05
AT-NEW - Active Ratio,105 / 643 = ,0.1633
AT-RETAINED - No of Fundraisers (previous campaign),,1109
AT-RETAINED - Total Retained from Previous into Current,,262
AT-RETAINED - No of Active Fundraisers,,88
AT-RETAINED - APAM (Active),14287.69 / 88 = ,162.36
AT-RETAINED - Total Funds,,14287.69
AT-RETAINED - Retained Ratio,262 / 1109 = ,0.2362
AT-RETAINED - Active Ratio,88 / 262 = ,0.3359
AT-RETAINED - Total No of Fundraisers (current campaign),,1030
AT-RETURNING - No of Returning Frs before previous campaign,,125
AT-RETURNING - No of Active Fundraisers,,25
AT-RETURNING - APAM (Active),2715.4 / 25 = ,108.62
AT-RETURNING - Total Funds,,2715.4
AT-RETURNING - Active Ratio,25 / 125 = ,0.2
AT-TOTAL INDIVIDUALS - Total Number of Fundraisers,,1030
AT-TOTAL INDIVIDUALS - Total Active Fundraisers,,218
AT-TOTAL INDIVIDUALS - Total Funds Raised,,24784.14
AT-TEAM - No of Teams,,62
AT-TEAM - ATDD,14957.87 / 62 = ,241.26
AT-TEAM - Total Funds,,14957.87
AT-TOTAL PEER 2 PEER - Total Number of Fundraisers,,1030
AT-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,218
AT-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,62
AT-TOTAL PEER 2 PEER - Total Number of Active Entities,,280
AT-TOTAL PEER 2 PEER - Total Funds Raised,,53141.17
BE-FOUNDATION & RG - No of Donations,,81
