finance_measure,formula,result
AU-FOUNDATION & RG - No of Donations,,51
AU-FOUNDATION & RG - ADA,27.06 / 51 = ,0.53
AU-FOUNDATION & RG - Total Funds,,27.06
AU-NEW - No of New Fundraisers (previous campaign),,6
AU-NEW - No of Active Fundraisers,,5
AU-NEW - APAM (Active),5 / 995.0 = ,199.0
AU-NEW - Total Funds,,995.0
AU-NEW - Active Ratio,5 / 6 = ,0.8333
AU-RETAINED - No of Fundraisers (previous campaign),,84
AU-RETAINED - Total Retained from Previous into Current,,56
AU-RETAINED - No of Active Fundraisers,,43
AU-RETAINED - APAM (Active),34215.97 / 43 = ,795.72
AU-RETAINED - Total Funds,,34215.97
AU-RETAINED - Retained Ratio,56 / 84 = ,0.6667
AU-RETAINED - Active Ratio,43 / 56 = ,0.7679
AU-RETAINED - Total No of Fundraisers (current campaign),,83
AU-RETURNING - No of Returning Frs before previous campaign,,20
AU-RETURNING - No of Active Fundraisers,,15
AU-RETURNING - APAM (Active),9515.45 / 15 = ,634.36
AU-RETURNING - Total Funds,,9515.45
AU-RETURNING - Active Ratio,15 / 20 = ,0.75
AU-TOTAL PEER 2 PEER - Total Number of Fundraisers,,82
AU-TOTAL PEER 2 PEER - Total Active Fundraisers,,63
AU-TOTAL PEER 2 PEER - Total Funds Raised,,44726.42
AU-TEAM - No of Teams,,0
AU-TEAM - ATDD,0.0 / 0 = ,0.0
AU-TEAM - Total Funds,,0.0
AU-TOTAL PEER 2 PEER - Total Number of Fundraisers,,82
AU-TOTAL PEER 2 PEER - Total Funds Raised,,2162026.17
CA-FOUNDATION & RG - No of Donations,,2
CA-FOUNDATION & RG - ADA,0.0 / 2 = ,0.0
CA-FOUNDATION & RG - Total Funds,,0.0
CA-NEW - No of New Fundraisers (previous campaign),,1
CA-NEW - No of Active Fundraisers,,0
CA-NEW - APAM (Active),0 / 0.0 = ,0.0
CA-NEW - Total Funds,,0.0
CA-NEW - Active Ratio,0 / 1 = ,0.0
CA-RETAINED - No of Fundraisers (previous campaign),,32
CA-RETAINED - Total Retained from Previous into Current,,28
CA-RETAINED - No of Active Fundraisers,,24
CA-RETAINED - APAM (Active),29653.86 / 24 = ,1235.58
CA-RETAINED - Total Funds,,29653.86
CA-RETAINED - Retained Ratio,28 / 32 = ,0.875
CA-RETAINED - Active Ratio,24 / 28 = ,0.8571
CA-RETAINED - Total No of Fundraisers (current campaign),,43
CA-RETURNING - No of Returning Frs before previous campaign,,13
CA-RETURNING - No of Active Fundraisers,,10
CA-RETURNING - APAM (Active),3958.33 / 10 = ,395.83
CA-RETURNING - Total Funds,,3958.33
CA-RETURNING - Active Ratio,10 / 13 = ,0.7692
CA-TOTAL PEER 2 PEER - Total Number of Fundraisers,,42
CA-TOTAL PEER 2 PEER - Total Active Fundraisers,,34
CA-TOTAL PEER 2 PEER - Total Funds Raised,,33612.19
CA-TEAM - No of Teams,,0
CA-TEAM - ATDD,0.0 / 0 = ,0.0
CA-TEAM - Total Funds,,0.0
CA-TOTAL PEER 2 PEER - Total Number of Fundraisers,,42
CA-TOTAL PEER 2 PEER - Total Funds Raised,,2083572.49
AT-FOUNDATION & RG - No of Donations,,0
AT-FOUNDATION & RG - ADA,0.0 / 0 = ,0.0
AT-FOUNDATION & RG - Total Funds,,0.0
AT-NEW - No of New Fundraisers (previous campaign),,0
AT-NEW - No of Active Fundraisers,,0
AT-NEW - APAM (Active),0 / 0.0 = ,0.0
AT-NEW - Total Funds,,0.0
AT-NEW - Active Ratio,0 / 0 = ,0.0
AT-RETAINED - No of Fundraisers (previous campaign),,1
AT-RETAINED - Total Retained from Previous into Current,,0
AT-RETAINED - No of Active Fundraisers,,0
AT-RETAINED - APAM (Active),0.0 / 0 = ,0.0
AT-RETAINED - Total Funds,,0.0
AT-RETAINED - Retained Ratio,0 / 1 = ,0.0
AT-RETAINED - Active Ratio,0 / 0 = ,0.0
AT-RETAINED - Total No of Fundraisers (current campaign),,1
AT-RETURNING - No of Returning Frs before previous campaign,,0
AT-RETURNING - No of Active Fundraisers,,0
AT-RETURNING - APAM (Active),0.0 / 0 = ,0.0
AT-RETURNING - Total Funds,,0.0
AT-RETURNING - Active Ratio,0 / 0 = ,0.0
AT-TOTAL PEER 2 PEER - Total Number of Fundraisers,,0
AT-TOTAL PEER 2 PEER - Total Active Fundraisers,,0
AT-TOTAL PEER 2 PEER - Total Funds Raised,,0.0
AT-TEAM - No of Teams,,0
AT-TEAM - ATDD,0.0 / 0 = ,0.0
AT-TEAM - Total Funds,,0.0
AT-TOTAL PEER 2 PEER - Total Number of Fundraisers,,0
AT-TOTAL PEER 2 PEER - Total Funds Raised,,13158.3
