campaign,payment_country,region,tenure,metric,result
2019,us,Total,Foundation,donations,11638
2019,us,Total,Foundation,ada,108.01
2019,us,Total,Foundation,funds,1257015.56
2019,us,Total,Foundation,comment,
2019,us,Total,New,regos,53338
2019,us,Total,New,active,14508
2019,us,Total,New,apam,232.51
2019,us,Total,New,funds,3373246.42
2019,us,Total,New,comment,
2019,us,Total,Retained,regos_total_prior,89382
2019,us,Total,Retained,regos,16686
2019,us,Total,Retained,active,9640
2019,us,Total,Retained,apam,585.89
2019,us,Total,Retained,funds,5647966.33
2019,us,Total,Retained,comment,
2019,us,Total,Retained,regos_total_curnt,103849
2019,us,Total,Returned,regos,7974
2019,us,Total,Returned,active,3058
2019,us,Total,Returned,apam,330.52
2019,us,Total,Returned,funds,1010716.91
2019,us,Total,Returned,comment,
2019,us,Total,Team,donations,4775
2019,us,Total,Team,atdd,698.71
2019,us,Total,Team,funds,3336348.72
2019,us,Total,Team,comment,
2019,us,CA,Foundation,donations,2304
2019,us,CA,Foundation,ada,26.97
2019,us,CA,Foundation,funds,62130.67
2019,us,CA,Foundation,comment,
2019,us,CA,New,regos,7202
2019,us,CA,New,active,2107
2019,us,CA,New,apam,246.18
2019,us,CA,New,funds,518708.42
2019,us,CA,New,comment,
2019,us,CA,Retained,regos_total_prior,8490
2019,us,CA,Retained,regos,2593
2019,us,CA,Retained,active,1552
2019,us,CA,Retained,apam,622.87
2019,us,CA,Retained,funds,966701.55
2019,us,CA,Retained,comment,
2019,us,CA,Retained,regos_total_curnt,11054
2019,us,CA,Returned,regos,1259
2019,us,CA,Returned,active,477
2019,us,CA,Returned,apam,377.76
2019,us,CA,Returned,funds,180190.38
2019,us,CA,Returned,comment,
2019,us,CA,Team,donations,0
2019,us,CA,Team,atdd,0.0
2019,us,CA,Team,funds,0.0
2019,us,CA,Team,comment,
2019,us,CO,Foundation,donations,189
2019,us,CO,Foundation,ada,73.61
2019,us,CO,Foundation,funds,13912.04
2019,us,CO,Foundation,comment,
2019,us,CO,New,regos,1555
2019,us,CO,New,active,461
2019,us,CO,New,apam,183.42
2019,us,CO,New,funds,84556.5
2019,us,CO,New,comment,
2019,us,CO,Retained,regos_total_prior,1663
2019,us,CO,Retained,regos,539
2019,us,CO,Retained,active,314
2019,us,CO,Retained,apam,526.46
2019,us,CO,Retained,funds,165309.05
2019,us,CO,Retained,comment,
2019,us,CO,Retained,regos_total_curnt,2357
2019,us,CO,Returned,regos,263
2019,us,CO,Returned,active,106
2019,us,CO,Returned,apam,325.64
2019,us,CO,Returned,funds,34517.48
2019,us,CO,Returned,comment,
2019,us,CO,Team,donations,0
2019,us,CO,Team,atdd,0.0
2019,us,CO,Team,funds,0.0
2019,us,CO,Team,comment,
2019,us,CT,Foundation,donations,140
2019,us,CT,Foundation,ada,41.75
2019,us,CT,Foundation,funds,5844.31
2019,us,CT,Foundation,comment,
2019,us,CT,New,regos,1004
2019,us,CT,New,active,341
2019,us,CT,New,apam,255.95
2019,us,CT,New,funds,87277.54
2019,us,CT,New,comment,
2019,us,CT,Retained,regos_total_prior,1222
2019,us,CT,Retained,regos,342
2019,us,CT,Retained,active,211
2019,us,CT,Retained,apam,602.61
2019,us,CT,Retained,funds,127150.13
2019,us,CT,Retained,comment,
2019,us,CT,Retained,regos_total_curnt,1481
2019,us,CT,Returned,regos,135
2019,us,CT,Returned,active,55
2019,us,CT,Returned,apam,338.85
2019,us,CT,Returned,funds,18636.57
2019,us,CT,Returned,comment,
2019,us,CT,Team,donations,0
2019,us,CT,Team,atdd,0.0
2019,us,CT,Team,funds,0.0
2019,us,CT,Team,comment,
2019,us,DC,Foundation,donations,50
2019,us,DC,Foundation,ada,32.9
2019,us,DC,Foundation,funds,1645.0
2019,us,DC,Foundation,comment,
2019,us,DC,New,regos,237
2019,us,DC,New,active,72
2019,us,DC,New,apam,264.78
2019,us,DC,New,funds,19063.92
2019,us,DC,New,comment,
2019,us,DC,Retained,regos_total_prior,319
2019,us,DC,Retained,regos,87
2019,us,DC,Retained,active,50
2019,us,DC,Retained,apam,1168.05
2019,us,DC,Retained,funds,58402.27
2019,us,DC,Retained,comment,
2019,us,DC,Retained,regos_total_curnt,366
2019,us,DC,Returned,regos,42
2019,us,DC,Returned,active,16
2019,us,DC,Returned,apam,466.87
2019,us,DC,Returned,funds,7469.94
2019,us,DC,Returned,comment,
2019,us,DC,Team,donations,0
2019,us,DC,Team,atdd,0.0
2019,us,DC,Team,funds,0.0
2019,us,DC,Team,comment,
2019,us,FL,Foundation,donations,381
2019,us,FL,Foundation,ada,51.69
2019,us,FL,Foundation,funds,19692.98
2019,us,FL,Foundation,comment,
2019,us,FL,New,regos,2364
2019,us,FL,New,active,569
2019,us,FL,New,apam,169.45
2019,us,FL,New,funds,96418.37
2019,us,FL,New,comment,
2019,us,FL,Retained,regos_total_prior,2188
2019,us,FL,Retained,regos,442
2019,us,FL,Retained,active,230
2019,us,FL,Retained,apam,472.5
2019,us,FL,Retained,funds,108675.12
2019,us,FL,Retained,comment,
2019,us,FL,Retained,regos_total_curnt,3127
2019,us,FL,Returned,regos,321
2019,us,FL,Returned,active,117
2019,us,FL,Returned,apam,332.6
2019,us,FL,Returned,funds,38914.05
2019,us,FL,Returned,comment,
2019,us,FL,Team,donations,0
2019,us,FL,Team,atdd,0.0
2019,us,FL,Team,funds,0.0
2019,us,FL,Team,comment,
2019,us,GA,Foundation,donations,174
2019,us,GA,Foundation,ada,35.29
2019,us,GA,Foundation,funds,6141.0
2019,us,GA,Foundation,comment,
2019,us,GA,New,regos,1126
2019,us,GA,New,active,270
2019,us,GA,New,apam,349.37
2019,us,GA,New,funds,94329.53
2019,us,GA,New,comment,
2019,us,GA,Retained,regos_total_prior,1186
2019,us,GA,Retained,regos,307
2019,us,GA,Retained,active,167
2019,us,GA,Retained,apam,1077.65
2019,us,GA,Retained,funds,179968.29
2019,us,GA,Retained,comment,
2019,us,GA,Retained,regos_total_curnt,1590
2019,us,GA,Returned,regos,157
2019,us,GA,Returned,active,54
2019,us,GA,Returned,apam,432.25
2019,us,GA,Returned,funds,23341.4
